# 10          0.729239 1.27789 1.27789       3
# 1         400      56             42           12.3636            190     215     207
  1        2212              5       0.938270  1.07306933e-01 -3.80152039e-01 -8.36336512e-01  1.31345368e+00 -1.58515071e+00 -2.18385954e+01 -4.26102475e+01  8.00000000e+01  2.24044545e+01
  1        2112             -1     0.93957000  4.00365842e-02 -1.23734524e-01 -9.97838352e-01  1.39617245e+00 -7.12537844e+00 -3.26909819e-01 -4.02638287e+01  8.00000000e+01  4.42550026e-15
  1        2112             13     0.93957000  1.21546389e-02 -1.65312814e-01 -7.22499392e-01  1.19129860e+00 -1.06690453e+01 -4.77581642e+00 -3.67020266e+01  8.00000000e+01  7.39097197e-15
  1        2212             10     0.93827000  3.35755381e-02  2.31374770e-01 -8.82399448e-01  1.30216254e+00 -9.09846001e+00 -3.94721634e+00 -4.51922036e+01  8.00000000e+01 -2.99561444e-15
  1        2112             10     0.93957000 -1.22555412e-01  4.06235476e-02 -7.22797873e-01  1.18421352e+00 -1.04353226e+01 -4.85308940e+00 -4.44540749e+01  8.00000000e+01 -4.53136716e-15
  1        2112             10     0.93957000 -2.03735468e-01  4.79266744e-02 -7.81814392e-01  1.23174320e+00 -9.62216031e+00 -4.20725711e+00 -4.26024139e+01  8.00000000e+01  7.85170150e-15
  1        2212             10     0.93827000 -1.11832495e-01  2.65555835e-02 -6.08819498e-01  1.11611424e+00 -8.61551740e+00 -4.04485106e+00 -4.14999569e+01  8.00000000e+01  5.72353464e-15
  1        2112              9     0.93957000  7.21973844e-02 -1.89231440e-01 -9.27106930e-01  1.36469580e+00 -1.03228885e+01 -1.17181357e+00 -4.06308592e+01  8.00000000e+01 -3.89949782e-15
  1        2212             -1     0.93827000  7.75542366e-02 -8.89322950e-02 -6.57957131e-01  1.16516742e+00 -6.67963356e+00 -8.62758763e-01 -4.19275080e+01  8.00000000e+01 -3.77785849e-15
  1        2212             10     0.93827000 -1.63986894e-01 -1.38834200e-01 -8.47766590e-01  1.30354739e+00 -8.71365244e+00 -1.32536486e+00 -4.15964404e+01  8.00000000e+01 -5.05434331e-15
